Koordinat,Jenis,Nama Fasilitas,Kapasitas
"-6.9335863,107.698076",TPST/TPS 3R,TPST Gedebage,
"-6.936889,107.568306",TPST/TPS 3R,TPST Cicukang Holis 2,
"-6.931722,107.599722",TPST/TPS 3R,TPST Nyengseret,
"-6.932917,107.606472",TPST/TPS 3R,TPST Tegalega,
"-6.8851639,107.6088417",TPST/TPS 3R,TPST Babakan Siliwangi,
"-6.9335863,107.698076",TPST/TPS 3R,TPS 3R Pasar Gedebage,
"-6.9369814,107.5681331",TPST/TPS 3R,TPST Cicukang Holis,
"-6.9621875,107.6659531",TPST/TPS 3R,TPS 3R Ciwastra,
"-6.9121773,107.6231418",TPST/TPS 3R,TPS 3R Patrakomala,
"-6.9144033,107.655008",TPST/TPS 3R,TPS 3R Subang,
"-6.899581,107.607272",TPST/TPS 3R,TPS 3R FLYOVER TAMAN SARI (Rencana Penempatan),
"-6.9186372,107.6009398",TPST/TPS 3R,TPS 3R Kebon Jeruk,
"-6.8709987,107.6199712",TPST/TPS 3R,TPS 3R Dago Bengkok,
"-6.9305917,107.5996841",TPST/TPS 3R,TPS 3R Panjunan,
"-6.9163342,107.6648102",TPST/TPS 3R,TPS 3R Cibatu,
"-6.9575536,107.617093",TPST/TPS 3R,WATES,
"-6.9332308,107.6989002",TPST/TPS 3R,TPST Gedebage,
"-6.905024,107.6173029",TPST/TPS 3R,Yayasan Yahya,
"-6.94960729999999,107.6344299",TPST/TPS 3R,Yogya Center,
"-6.892365,107.5879023",TPST/TPS 3R,Transporter PT Baraya Lima Sodara,
"-6.925542,107.6366676",TPST/TPS 3R,TRANS STUDIO MALLA BANDUNG,
"-7.0267716,107.6600073",TPST/TPS 3R,TPST Jelekong,
"-6.9354754,107.5633995",TPST/TPS 3R,RW 08 CIGONDEWAH KALER,
"-6.9376188,107.568398",TPST/TPS 3R,TPST CICUKANG HOLIS,
"-6.8851496,107.608973",TPST/TPS 3R,TPST Babakan Siliwangi,
"-6.92238979999999,107.6495676",TPST/TPS 3R,TPST Babakan Sari,
"-6.95448669999999,107.6986639",TPST/TPS 3R,Summarecon Mall Bandung,
"-6.961398,107.6006389",TPST/TPS 3R,Transporter PT Inovasi Gerakan Masyarakat,
"-6.87571399999999,107.6041555",TPST/TPS 3R,Yogya Ciumbuleuit,
"-6.9256208,107.6408652",TPST/TPS 3R,TPS 3R Maleer,
"-6.9478578,107.5495643",TPST/TPS 3R,Transporter PT. Exiss Oseana Global,
"-6.93435479999999,107.6060515",TPST/TPS 3R,TEGALLEGA/KOBANA,
"-6.9429833,107.5506148",TPST/TPS 3R,Transporter Wahid,
"-6.9525083,107.7130152",TPST/TPS 3R,Transporter Waste For Change,
"-6.9196594,107.6117445",TPST/TPS 3R,THE NARIPAN HOTEL,
"-6.8871588,107.6087282",TPST/TPS 3R,TPST Sabuga ITB,
"-6.8871588,107.6087282",TPST/TPS 3R,Tempat Pembuangan Sampah Terpadu Sabuga ITB,
"-6.8958508,107.5888307",TPST/TPS 3R,RS Hermina Pasteur,
"-6.9063367,107.6202292",TPST/TPS 3R,Tebu Hotel,
"-6.9373013,107.6046178",TPST/TPS 3R,TAMAN TEGALLEGA,
"-6.9018747,107.6082321",TPST/TPS 3R,TAMAN SARI,
"-6.9223764,107.6091745",TPST/TPS 3R,POJOK KANG PISMAN PENDOPO WALIKOTA BANDUNG,
"-6.93739459999999,107.6971435",TPST/TPS 3R,SHAKTI HOTEL,
"-6.8825034,107.6009556",TPST/TPS 3R,Setiabudhi Supermarket,
"-6.9333592,107.6291104",TPST/TPS 3R,Sesko AD,
"-6.8564899,107.5952916",TPST/TPS 3R,SERSAN BAJURI,
"-6.9063045,107.6199011",TPST/TPS 3R,Serela Hotel,
"-6.8935528,107.598861",TPST/TPS 3R,SEDERHANA,
"-6.885012,107.5750009",TPST/TPS 3R,SARIMADU,
"-6.9373456,107.6575377",TPST/TPS 3R,MASTERINDO,
"-6.8593126,107.5950587",TPST/TPS 3R,RW 06 LEDENG,
"-6.940032,107.6462231",TPST/TPS 3R,Rumah Sakit Umum Pindad Bandung,
"-6.9066152,107.6112396",TPST/TPS 3R,Rumah Sakit Sariningsih,
"-6.8775523,107.6065088",TPST/TPS 3R,Rumah Sakit Paru DR HA Rotinsulu,
"-6.9063167,107.5983705",TPST/TPS 3R,Rumah Sakit Melinda 2,
"-6.94565309999999,107.6405235",TPST/TPS 3R,Rumah Sakit Khusus Jantung & Pembuluh Darah Paramarta Bandung,
"-6.9062335,107.6141054",TPST/TPS 3R,Rumah Sakit Khusus Gigi dan Mulut,
"-6.906915,107.6435012",TPST/TPS 3R,RS Santo Yusup,
"-6.923502,107.623725",TPST/TPS 3R,The Papandayan Hotel Bandung,
"-6.8613,107.5956",TPST/TPS 3R,Travello Hotel,
"-6.9178251,107.6577412",TPST/TPS 3R,TPS 3R Indramayu,
"-6.9174639,107.6191228",TPST/TPS 3R,TPS 3R Ambon,
"-6.91287649999999,107.6551691",TPST/TPS 3R,TPS 3R BINEKAS ANTAPANI TENGAH,
"-6.913396,107.6953006",TPST/TPS 3R,UJUNG BERUNG INDAH,
