Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
0,POOL KECAMATAN 0,POOL,POOL,-6.92481643333333,107.64060098888888,0.0,0,0
1,TRANS STUDIO MALLA BANDUNG,TPST/TPS 3R,TPS,-6.925542,107.6366676,5.5,0,517828
2,TPST Babakan Sari,TPST/TPS 3R,TPS,-6.92238979999999,107.6495676,5.5,0,498633
3,TPS 3R Maleer,TPST/TPS 3R,TPS,-6.9256208,107.6408652,5.5,0,535019
4,MALEER RW 06,TPST/TPS 3R,TPS,-6.9264224,107.6400291,5.5,0,424606
5,MALEER INDAH,TPST/TPS 3R,TPS,-6.9267809,107.6406999,5.5,0,471092
6,DESE,TPST/TPS 3R,TPS,-6.922815,107.6431681,4.4,0,331803
7,CIBANGKONG RW 12,TPST/TPS 3R,TPS,-6.92433059999999,107.6327804,5.5,0,427122
8,CIBANGKONG RW 11,TPST/TPS 3R,TPS,-6.9225439,107.6343872,5.5,0,498721
9,Rumah Pengolahan Sampah(RPS)Summarecon Bandung,TPST/TPS 3R,TPS,-6.9269025,107.6472438,5.01,0,480669
10,POOL KECAMATAN 1,POOL,POOL,-6.90972534375,107.61942089375,0.0,1,0
11,TPS 3R Patrakomala,TPST/TPS 3R,TPS,-6.9121773,107.6231418,5.5,1,528881
12,Yayasan Yahya,TPST/TPS 3R,TPS,-6.905024,107.6173029,5.5,1,518059
13,Tebu Hotel,TPST/TPS 3R,TPS,-6.9063367,107.6202292,4.25,1,396145
14,Serela Hotel,TPST/TPS 3R,TPS,-6.9063045,107.6199011,5.5,1,499368
15,Rumah Sakit Khusus Gigi dan Mulut,TPST/TPS 3R,TPS,-6.9062335,107.6141054,4.99,1,406421
16,TPS 3R Ambon,TPST/TPS 3R,TPS,-6.9174639,107.6191228,5.5,1,457073
17,RSKB Halmahera,TPST/TPS 3R,TPS,-6.9067338,107.6155973,5.5,1,439207
18,RS Limijati,TPST/TPS 3R,TPS,-6.9061276,107.613634,5.5,1,510904
19,PATRAKOMALA,TPST/TPS 3R,TPS,-6.9122332,107.6259681,5.5,1,503814
20,Meize Hotel,TPST/TPS 3R,TPS,-6.9149086,107.6179052,5.5,1,499577
21,Klinik Utama Perisai Husada,TPST/TPS 3R,TPS,-6.9070021,107.6158639,5.5,1,488711
22,Hotel Panen,TPST/TPS 3R,TPS,-6.909144,107.624781,5.5,1,518490
23,Hotel Noor,TPST/TPS 3R,TPS,-6.9070209,107.6191867,5.5,1,494013
24,GUDANG SELATAN,TPST/TPS 3R,TPS,-6.9170649,107.621826,5.5,1,480020
